Student Name,Year Level,Student Number,Homework/Assignment,Time Allocation,Reading and Note-Taking,Study Period Procedure,Written Works,Examination Taking,Teachers Consultation
Rachel Wood,3,22723272,"['Strongly Disagree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Agree', 'Agree', 'Strongly Agree']","['Agree', 'Disagree', 'Strongly Disagree']","['Strongly Agree', 'Agree', 'Strongly Disagree']","['Disagree', 'Strongly Agree', 'Agree']"
Nancy Hall,2,23443756,"['Strongly Disagree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Agree', 'Agree', 'Strongly Disagree']","['Disagree', 'Disagree', 'Agree']","['Strongly Disagree', 'Disagree', 'Strongly Agree']","['Agree', 'Disagree', 'Agree']","['Disagree', 'Disagree', 'Disagree']","['Disagree', 'Strongly Disagree', 'Strongly Agree']"
Antonio Torres,1,24413362,"['Disagree', 'Agree', 'Strongly Agree']","['Disagree', 'Strongly Disagree', 'Disagree']","['Disagree', 'Strongly Disagree', 'Strongly Agree']","['Disagree', 'Agree', 'Agree']","['Strongly Agree', 'Disagree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Agree']","['Disagree', 'Disagree', 'Disagree']"
Crystal Flowers,4,21587429,"['Disagree', 'Strongly Agree', 'Agree']","['Agree', 'Strongly Agree', 'Agree']","['Agree', 'Strongly Disagree', 'Disagree']","['Disagree', 'Disagree', 'Strongly Disagree']","['Agree', 'Agree', 'Agree']","['Strongly Agree', 'Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Disagree', 'Strongly Disagree']"
Tiffany Hill,1,24663532,"['Strongly Disagree', 'Disagree', 'Disagree']","['Strongly Agree', 'Strongly Agree', 'Strongly Disagree']","['Agree', 'Agree', 'Agree']","['Strongly Disagree', 'Agree', 'Disagree']","['Strongly Agree', 'Strongly Disagree', 'Disagree']","['Strongly Agree', 'Agree', 'Disagree']","['Disagree', 'Strongly Agree', 'Strongly Agree']"
Paula Williams,3,22189216,"['Strongly Disagree', 'Disagree', 'Strongly Agree']","['Strongly Disagree', 'Agree', 'Agree']","['Strongly Agree', 'Strongly Disagree', 'Disagree']","['Agree', 'Agree', 'Disagree']","['Agree', 'Agree', 'Agree']","['Agree', 'Strongly Agree', 'Strongly Disagree']","['Disagree', 'Disagree', 'Disagree']"
Brian Rivera,3,22324747,"['Strongly Agree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Agree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Agree']","['Disagree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Disagree']","['Agree', 'Agree', 'Agree']"
Tracy Garrison,4,21863078,"['Strongly Agree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Agree']","['Disagree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Agree', 'Agree']"
Kevin Shaw,1,24512667,"['Strongly Disagree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Agree', 'Agree', 'Disagree']","['Strongly Disagree', 'Agree', 'Disagree']","['Strongly Agree', 'Disagree', 'Strongly Agree']","['Strongly Agree', 'Strongly Disagree', 'Agree']","['Strongly Agree', 'Disagree', 'Agree']","['Disagree', 'Disagree', 'Disagree']"
Douglas Shaw,3,22882875,"['Agree', 'Disagree', 'Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Disagree']","['Disagree', 'Agree', 'Agree']","['Strongly Agree', 'Disagree', 'Disagree']","['Agree', 'Strongly Agree', 'Strongly Agree']","['Disagree', 'Agree', 'Agree']","['Disagree', 'Disagree', 'Agree']"
Michelle Turner,3,22650346,"['Disagree', 'Agree', 'Disagree']","['Strongly Agree', 'Strongly Disagree', 'Disagree']","['Agree', 'Disagree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Agree', 'Disagree']","['Agree', 'Strongly Agree', 'Disagree']","['Agree', 'Strongly Disagree', 'Strongly Disagree']"
Dr. Elizabeth Anderson,3,22884979,"['Agree', 'Disagree', 'Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Disagree']","['Agree', 'Agree', 'Agree']","['Disagree', 'Strongly Disagree', 'Disagree']","['Disagree', 'Disagree', 'Disagree']","['Strongly Agree', 'Agree', 'Strongly Agree']","['Disagree', 'Strongly Disagree', 'Agree']"
Harold Castillo,3,22309443,"['Strongly Disagree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Agree', 'Agree']","['Strongly Agree', 'Strongly Disagree', 'Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Agree', 'Disagree', 'Strongly Agree']"
Lawrence Cortez,2,23970040,"['Disagree', 'Disagree', 'Disagree']","['Agree', 'Strongly Disagree', 'Strongly Disagree']","['Disagree', 'Agree', 'Disagree']","['Agree', 'Strongly Disagree', 'Agree']","['Strongly Disagree', 'Agree', 'Disagree']","['Strongly Agree', 'Disagree', 'Strongly Agree']","['Agree', 'Disagree', 'Agree']"
Carl Gonzales,4,21270099,"['Agree', 'Strongly Agree', 'Disagree']","['Agree', 'Strongly Agree', 'Strongly Agree']","['Disagree', 'Strongly Agree', 'Strongly Agree']","['Strongly Agree', 'Agree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Strongly Agree', 'Disagree', 'Disagree']","['Disagree', 'Strongly Disagree', 'Agree']"
Nichole Walton,1,24994341,"['Strongly Agree', 'Disagree', 'Strongly Disagree']","['Disagree', 'Strongly Agree', 'Disagree']","['Strongly Disagree', 'Agree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Agree', 'Strongly Disagree', 'Strongly Disagree']","['Agree', 'Strongly Disagree', 'Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Disagree']"
Martin Phillips,4,21809757,"['Strongly Disagree', 'Disagree', 'Disagree']","['Strongly Agree', 'Disagree', 'Strongly Disagree']","['Agree', 'Strongly Agree', 'Disagree']","['Agree', 'Disagree', 'Strongly Agree']","['Disagree', 'Disagree', 'Agree']","['Strongly Agree', 'Disagree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Disagree', 'Agree']"
Sara Oconnor,2,23224335,"['Disagree', 'Disagree', 'Agree']","['Strongly Agree', 'Disagree', 'Agree']","['Disagree', 'Agree', 'Disagree']","['Disagree', 'Disagree', 'Disagree']","['Disagree', 'Strongly Agree', 'Strongly Disagree']","['Agree', 'Disagree', 'Agree']","['Agree', 'Disagree', 'Strongly Disagree']"
Nathaniel Johnston,3,22314642,"['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Disagree', 'Disagree', 'Strongly Disagree']","['Agree', 'Disagree', 'Agree']","['Disagree', 'Disagree', 'Disagree']","['Agree', 'Disagree', 'Strongly Disagree']","['Agree', 'Strongly Disagree', 'Strongly Agree']","['Disagree', 'Disagree', 'Strongly Disagree']"
Amy Smith,1,24677935,"['Disagree', 'Disagree', 'Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Disagree']","['Disagree', 'Disagree', 'Strongly Disagree']","['Agree', 'Agree', 'Strongly Agree']","['Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Strongly Agree']","['Disagree', 'Strongly Disagree', 'Strongly Disagree']"
William Reed,4,21579248,"['Disagree', 'Disagree', 'Agree']","['Strongly Agree', 'Disagree', 'Agree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Agree', 'Disagree']","['Strongly Agree', 'Strongly Disagree', 'Disagree']","['Agree', 'Agree', 'Disagree']","['Agree', 'Strongly Agree', 'Strongly Agree']"
Cindy Romero,4,21057495,"['Strongly Disagree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Disagree']","['Agree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Disagree', 'Disagree', 'Strongly Agree']","['Strongly Agree', 'Disagree', 'Strongly Disagree']","['Agree', 'Strongly Agree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Disagree']"
Emily Miller,3,22782220,"['Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Disagree', 'Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Agree', 'Strongly Agree', 'Strongly Disagree']","['Disagree', 'Strongly Disagree', 'Disagree']","['Disagree', 'Strongly Agree', 'Agree']"
Angel Johnson,3,22757586,"['Strongly Agree', 'Agree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Agree', 'Strongly Disagree', 'Disagree']","['Agree', 'Disagree', 'Strongly Agree']","['Disagree', 'Strongly Agree', 'Strongly Disagree']","['Disagree', 'Strongly Disagree', 'Disagree']","['Disagree', 'Agree', 'Strongly Disagree']"
Gregory Martin,2,23393418,"['Strongly Agree', 'Strongly Disagree', 'Disagree']","['Disagree', 'Strongly Agree', 'Disagree']","['Agree', 'Disagree', 'Strongly Agree']","['Agree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Disagree', 'Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Disagree', 'Agree']"
Melinda Hines,4,21886801,"['Strongly Disagree', 'Strongly Agree', 'Strongly Disagree']","['Disagree', 'Disagree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Agree']","['Strongly Agree', 'Agree', 'Agree']","['Strongly Agree', 'Disagree', 'Strongly Agree']","['Strongly Disagree', 'Agree', 'Strongly Disagree']"
